,date,Operador,Militar,Ruta_vuelo,Tipo_vuelo_Nac_Int,Lugar_accidente,flight_no,ac_type,registration,cn_ln,all_aboard,passengers,crew_aboard,Total_fatalities,passenger_fatalities,crew_fatalities,ground_fatalities,summary,take_off,landing,hijacked,lost_contact
0,2001-01-04 00:00:00,Military - People's Liberation Army,1,No_identificado,2,"Zheng Zou AB, China",?,Shaanxi Yunshuji Y-8/Yunshuji Y-8,31242/31243,?,16,0,16,16,0,16,6,Two Antonov 12 planes collided in midair killing all aboard and 6 on the ground.,0,0,0,0
1,2001-01-08 00:00:00,Military - Tentara Nasional Indonesia Navy,1,"Jayapura,Timika-id",0,"Near Silimo, Indonesia",?,CASA 212-MP Aviocar 200,U-614,223/63N,9,0,9,9,0,9,0,"Struck Timika Peak at 11,800 ft. shortly after taking off. Controlled flight into terrain.",1,0,0,0
2,2001-01-23 21:35:00,Majestic Air Cargo,0,No_identificado,2,"Eider Point, Alaska",?,Douglas C-47A-30-DK (DC-3C),N19454,13863,2,0,2,2,0,2,0,"The cargo plane crashed on Table Top Mountain while en route. The airplane flightcrew's failure to maintain adequate distance/altitude from mountainous terrain during a departure climb to cruise flight, and the captain's impairment from drugs. Factors in the accident were dark night conditions, and the first officer's impairment from drugs.",0,0,0,0
3,2001-01-25 18:15:00,Rutaca Airlines,0,"ve,us",1,"Ciudad Bolivar, Venezuela",224,Douglas DC-3C (C47A-DL),YV-224C,19055,24,20,4,24,20,4,0,The plane caught fire shortly after taking off from Ciudad Bolivar where it had made a refueling stop. The pilot was unable to tell the tower what was wrong before rolling inverted and crashing into a neighborhood south of the city.,1,0,0,0
4,2001-01-27 17:37:00,North Bay Charter,0,"Broomfield,CO,OK,Stillwater-us",0,"Byers, Colorado",?,Beech King Air 200 Catpass,N81PF,BB-158,10,8,2,10,8,2,0,"The plane was on a charter flight from Jefferson County Airport to Stillwater, Oklahoma. Radio and radar contact was lost 20 - 30 minutes after the plane took off as it reached 23,000 feet. The aircraft crashed at a high rate of speed into the ground on a farm 40 miles east of Denver. There was light snow and 1.5 miles visibility at the time of the accident. Two members and six staffers of the Oklahoma State University basketball team were among those killed. The probable cause of this accident was the pilot’s spatial disorientation resulting from his failure to maintain positive manual control of the airplane with the available flight instrumentation.Contributing to the cause of the accident was the loss of a.c. electrical power during instrument meteorological conditions.",0,0,0,0
5,2001-01-31 16:50:00,Lineas Aereas Suramericanas,0,"ir,co",1,"El Yopal, Colombia",?,Sud Aviation SE-210 Caravelle 10R,HK-3932X,201,6,3,3,3,2,1,0,"While attempting to land at Mitú, the cargo plane's landing gear struck the ground short of the threshold. A go- around was executed but the No. 1 engine was shut down because of low oil pressure. The plane flew over the control tower twice to determine the state of the landing gear. It appeared that part of the left main landing gear was missing. The crew then positioned the plane for an approach and landing. As the plane turned into long final, it struck the ground, crashed in a meadow and caught fire.",0,1,0,0
6,2001-02-08 15:40:00,E.A.S. Aeroservizi,0,No_identificado,2,"Nurnberg, Germany",?,Learjet 35A,I-MOCO,35-445,3,1,2,3,1,2,0,"The plane experienced asymetrical thrust during takeoff. Rose 200-300 ft., stalled and crashed into trees. An in-flight failure of the left power plant appromately 3 minutes after take-off and inadequate conduct of the crew  so that in short final the airplane stalled and crashed from low height. The failure of the left engine was caused by intergranular fractures of retention posts on the high pressure turbine disk. As a result of incorrect service life recordings the maximum number of cycles had considerably been exceeded.",1,0,0,0
7,2001-02-08 19:20:00,Northern Illinois Flight Center,0,No_identificado,2,"Beaver Island, Minnesota",?,Swearingen SA.227AT Merlin IVC,N318DH,AT-469,6,4,2,2,0,2,0,"Impacted trees and crashed while attempting to land. The flightcrew not maintaining altitude/clearance during the circling instrument approach. Factors were the pilot in command initiating the flight without proper weather reporting facilities at the destination, the flightcrew not flying to an alternate destination, the flightcrew not following company and FAA procedures/directives, the lack of certification of the second pilot, the operator not following company and FAA procedures/directives, and the dark night and the low ceiling.",0,1,0,0
8,2001-02-10 00:00:00,Gum Air Charter,0,No_identificado,2,"Jakobkondre, Suriname",?,GAF Nomad N24A,PZ-TBP,N24A-73,10,9,1,10,9,1,0,"After losing radio contact with the airport, the aircraft was observed flying low before crashed into a mountainside 2 nm from Jakobkondre.",0,0,0,0
9,2001-02-27 17:30:00,Loganair,0,"Belfast,Edinburgh-gb",0,"Near Granton Harbour, Scotland",670,Shorts 360-100,G-BNMT,SH3723,2,0,2,2,0,2,0,Double engine failure on take off cause the cargo plane to ditch in Firth of the Forth estuary. Icing.,1,0,0,0
10,2001-03-03 09:55:00,Military - Florida Army National Guard,1,No_identificado,2,"Unadilla, Georgia",?,Short 360,93-1336,3684/3420,21,18,3,21,18,3,0,"The plane was on a flight from Florida to Oceana Naval Air Station in Virginia when witnesses observed the plane gliding down and losing altitude until it impacted the ground, exploding into flames. Heavy rain and wind were present in the area at the time of the accident. Weight imbalances in the aircraft were the primary cause of the accident as the cargo shifted when the pilot  got up and walked through the plane toward the rear of the plane, unbalancing the aircraft just as it hit severe turbulence. This led to the loss of control and break-up of the aircraft.",0,0,0,0
11,2001-03-03 14:48:00,Thai Airways,0,"Bangkok,Chiang Mai.-th",0,"Bangkok, Thailand",114,Boeing B-737-4D7,HS-TDC,25321/2113,5,0,5,1,0,1,0,"The aircraft exploded and caught fire 35 minutes before its scheduled takeoff. Five members of the cabin crew were the only people aboard the plane at the time. Witnesses said they heard an explosion before flames erupted aboard the aircraft. NTSB investigators reported that the center fuel tank exploded followed by the right tank 18 minutes later. The cause for the explosion was unclear. The center fuel tank is located near air conditioning packs which generate heat, and were running nonstop prior to the explosion.",1,0,0,0
12,2001-03-15 00:00:00,Vnukovo Airlines,0,"tr,ru",1,"Medina, Saudi Arabia",?,Tupolev 154M,RA-85619,86A-738,174,162,12,3,2,1,0,"The plane was hijacked and flown to Medina, Saudi Arabia. The plane was stormed and three people killed.",0,0,1,0
13,2001-03-24 16:30:00,Air Caraibes,0,"St. Barthélémy,St. Maarten-fr",0,"Gustavia, St. Barthélémy, French West Indies",1501,de Havilland Canada DHC-6 Twin Otter,F-OGES,254,19,17,2,19,17,2,1,The aircraft took off from Prinses Juliana Airport at St. Maarten for a 15 minute flight to St. Jean Airport at St. Barthélémy. While attempting to land at St. Barthélémy the plane veered sharply to the left and plunged straight down crashing into a house and bursting into flames. Weather was good at the time of the accident.,0,1,0,0
14,2001-03-26 18:25:00,Merpati Nusantara Airlines,0,No_identificado,2,"Jadura, Indonesia",?,Fokker F-27 Friendship 500F,PK-MFL,10609,3,0,3,3,0,3,0,"While approaching Juanda for the 8th touch-and-go landing the aircraft banked to the left, crashed and caught fire.",0,1,0,0
15,2001-03-29 19:01:00,Jetwingsco Inc. - Private Charter,0,"Aspen,Los Angeles-us",0,"Near Aspen, Colorado",-,Grummand Gulfstream III,N303GA,303,18,15,3,18,15,3,0,"The aircraft was on final approach to Sardy Field when it crashed short of the runway into a hill northwest of the airport killing all aboard. The jet crashed into a small hillside 500 yards short of the runway, jumped over a culvert and crashed into another bluff exploding in flames. Wreckage was strewn over 100 yards. There was light snow and mist reported in the area at the time of the accident. The flight crew's operation of the airplane below the minimum descent altitude without an appropriate visual reference for the runway.  The crew was also under pressure to land before a landing curfew took effect.",0,1,0,0
16,2001-04-04 00:00:00,Military - Sudan Air Force,1,"Adar Yeil,Khartoum-sd",0,"Adar Yeil, Sudan",?,Antonov AN-24,?,?,30,0,0,14,0,0,0,"The aircraft crashed on takeoff during a sandstorm, killing Sudan's deputy defense minister and 13 high-ranking military officers.",1,0,0,0
17,2001-04-07 15:30:00,SFC Vietnam - Charter - Full Account,0,"Dong Hoi,Hue,Vinh-vn",0,"Thanh Tranh Village, Vietnam",?,Mil Mi-18 Helicopter,VN-8415,96168,16,13,3,16,13,3,0,"The helicopter, carrying members of Full Account, a group searching for the remains of U.S. troops missing in action during the Vietnam War, crashed into a mountainside in heavy fog.",0,0,0,0
18,2001-04-28 05:15:00,Private - Techint  group,0,"El Calafate,San Fernando-ar",0,"Near Roque Perez, Argentina",?,Cessna  208B Grand Caravan,LV-WSC,208B-0580,10,8,2,10,8,2,0,"The aircraft crashed into rugged farm land, 120 miles south of Buenos Aires. Possible icing.  Agostino Rocca, president of the Buenos Aires-based Techint  construction group and German Sopena, managing editor of the Argentine newspaper La Nacion, were among those killed.",0,1,0,0
19,2001-05-16 13:15:00,Military - Turkish Air Force,1,"Ankara,Diyarbakir-tr",0,"Malatya, Turkey",?,CASA CN-235M-10,?,C-006,34,28,6,34,28,6,0,"The aircraft went into a steep dive from 17,000 feet and crashed into a field. Hydraulic failure caused by ice.",0,0,0,0
20,2001-05-17 07:45:00,Faraz Qeshm Airlines,0,"ro,ir",1,"Near Sari, Iran",?,Yakovlev YAK-40,EP-TQP,9740856,30,25,5,30,25,5,0,"The aircraft crashed into mountains about 12 miles south of Sari, 55 minutes after taking off from Tehran on a flight to Gorgan. Shortly before the tower lost contact with the plane the pilot reported bad weather and said he was thinking of returning to Tehran. Transport Minister of Iran, Rahman Dadman, 45, killed.",1,0,0,1
21,2001-05-17 12:21:00,Fuerza Aérea Argentina,1,"br,ar",1,"Mendoza, Argentina",?,Fokker F-27 Friendship 400M,TC-76,10412,5,0,5,5,0,5,0,Shortly after taking off the plane veered to the right and crashed into a field. Engine failure.,1,0,0,0
22,2001-05-22 16:35:00,Military - Russian Air Force,1,"Morsansk,Rzhevsk-ru",0,"Near Myakotino, Russia",?,Antonov 12MGA,RA-12135,00347002,7,0,7,7,0,7,0,Crashed while en route.,0,0,0,0
23,2001-06-15 14:30:00,Manunggal Air,0,"Jayapura,Wamena-id",0,"Jayapura, Indonesia",?,Transall C-160NG,PK-VTP,233,19,16,3,1,1,0,0,"The aircraft returned to Sentani Airport after experiencing engine trouble, skidded off the runway and struck a fence.",0,0,0,0
