,Operador,cant_Accidentes
0,Military - U.S. Army,82
1,Desconocido,10
2,Military - U.S. Navy,39
3,Private,78
4,Military - German Navy,15
5,Military - German Army,4
6,US Aerial Mail Service,35
7,Wingfoot Air Express Goodyear Tire,1
8,Caproni Company,1
9,Aircraft Transport and Travel,2
10,Aircraft Travel Transport,1
11,Compañia Colombiana de Navegación Aérea,1
12,By Air,1
13,Latecoere Airlines,4
14,Handley Page Transport,2
15,Aeropostale,25
16,Military - Royal Australian Air Force,11
17,Military - Royal Airship Works,1
18,Franco-Roumaine,2
19,West Australian Airways,1
20,Military - U.S. Army Air Service,1
21,Aero Limited,1
22,Daimler Airways / Grands Express Aeriens,1
23,Cie des Messageries Aeriennes,1
24,Compagnie Franco-Roumaine de Navigaation Aerienne,1
25,Grands Express Aeriens,11
26,de Havilland Air Service,1
27,Amee de l'Air,1
28,Grands Express Aeriens (Air Union),0
29,Air Union,12
30,Campagnie France Roumaine,1
31,Daimler Airways,2
32,CCCP,1
33,Military - French Navy,1
34,KLM Royal Dutch Airlines,34
35,SCADTA,4
36,Imperial Airways,23
37,Zakavia,1
38,Lignes Aeriennes Latecoere,3
39,CIDNA,7
40,Deutche Lufthansa,1
41,Compagnie Internationale de Navigation Aérienne,1
42,Deutsche Lufthansa,63
43,Pacific Air Transport,6
44,Fokker,1
45,Qantas,14
46,Varney Air Lines,8
47,Colonial Air Transport,6
48,Reynolds Airways,1
49,Aero O-Y,4
50,National Air Transport,10
51,Colonial Western Airlines,2
52,Boeing Air Transport,6
53,Iberia Airlines,13
54,Ford Air Freight Inc.,1
55,British Columbia Airways,1
56,National Parks Airways,1
57,Universal Airlines,2
58,Continental Air Lines,3
59,Sunbeam Air Transport Co.,1
60,Syndicato Condor,5
61,Spokane Airways,1
62,Interstate Airlines,1
63,Aeroespresso,1
64,Skyline Transportation Company,1
65,New Standard Airlines,1
66,Maddux Airlines / Military - U.S.Army Air Force,1
67,Mexicana,19
68,MALERT,1
69,Pan American Airways,6
70,Northwest Orient Airlines,25
71,Bodensee Aerolloyd,1
72,Middle States Airlines,1
73,Ukvozduchput,1
74,Associated Aviators,1
75,Trans Continental Air Transport,2
76,Skyways,8
77,Pickwick Airways,1
78,Bremerton-Seattle Air Taxi / Gorst Air Lines,1
79,Corp. Aeronautica de Transportes,1
80,S.A.M. Società Aerea Mediterranea,1
81,Air Orient,5
82,Maddux Airlines,2
83,Central  Airlines (Universal Aviation Corporation),0
84,Canadian Colonial Airways,1
85,Cross Airways,2
86,Walcot Air Line,1
87,Ceskoslovenske Aerolinie,16
88,Sabena,24
89,Western Canada Airways,2
90,Military - British Air Ministry,1
91,Wings Ltd,1
92,Alaska-Washington Airways,1
93,Embry Riddle Company,1
94,China National Aviation Corporation,43
95,Dominion Air Lines,1
96,Australian National Airways,8
97,Trans Continental and Western Air,18
98,Guiena Airways,1
99,Rubner Flying Service,1
100,Braniff Airlines,10
101,Australian Aerial Services,1
102,American Airways,22
103,Chicago-Detroit Airways,1
104,"NY, Phil., Washington AW",1
105,Union Airways,2
