Categoría: Todas las categorías

Mes,accidente aereo: (Todo el mundo)
2004-01,4
2004-02,4
2004-03,8
2004-04,0
2004-05,3
2004-06,5
2004-07,4
2004-08,3
2004-09,0
2004-10,5
2004-11,1
2004-12,3
2005-01,1
2005-02,4
2005-03,5
2005-04,2
2005-05,5
2005-06,2
2005-07,4
2005-08,28
2005-09,9
2005-10,4
2005-11,2
2005-12,5
2006-01,3
2006-02,2
2006-03,6
2006-04,5
2006-05,3
2006-06,2
2006-07,1
2006-08,6
2006-09,6
2006-10,10
2006-11,5
2006-12,2
2007-01,4
2007-02,4
2007-03,6
2007-04,3
2007-05,4
2007-06,5
2007-07,23
2007-08,6
2007-09,7
2007-10,5
2007-11,4
2007-12,4
2008-01,5
2008-02,22
2008-03,9
2008-04,7
2008-05,12
2008-06,10
2008-07,8
2008-08,97
2008-09,14
2008-10,6
2008-11,17
2008-12,6
2009-01,12
2009-02,9
2009-03,8
2009-04,4
2009-05,5
2009-06,39
2009-07,9
2009-08,7
2009-09,4
2009-10,5
2009-11,4
2009-12,3
2010-01,5
2010-02,4
2010-03,4
2010-04,12
2010-05,11
2010-06,4
2010-07,5
2010-08,12
2010-09,19
2010-10,5
2010-11,18
2010-12,5
2011-01,7
2011-02,9
2011-03,4
2011-04,4
2011-05,12
2011-06,5
2011-07,5
2011-08,5
2011-09,69
2011-10,6
2011-11,8
2011-12,6
2012-01,4
2012-02,4
2012-03,6
2012-04,6
2012-05,5
2012-06,5
2012-07,4
2012-08,4
2012-09,4
2012-10,3
2012-11,5
2012-12,23
2013-01,6
2013-02,4
2013-03,4
2013-04,13
2013-05,10
2013-06,5
2013-07,12
2013-08,4
2013-09,4
2013-10,6
2013-11,6
2013-12,4
2014-01,4
2014-02,4
2014-03,10
2014-04,5
2014-05,5
2014-06,4
2014-07,13
2014-08,6
2014-09,5
2014-10,4
2014-11,4
2014-12,5
2015-01,6
2015-02,10
2015-03,100
2015-04,12
2015-05,11
2015-06,5
2015-07,4
2015-08,7
2015-09,4
2015-10,5
2015-11,6
2015-12,2
2016-01,4
2016-02,5
2016-03,8
2016-04,3
2016-05,5
2016-06,3
2016-07,3
2016-08,4
2016-09,4
2016-10,3
2016-11,82
2016-12,45
2017-01,5
2017-02,4
2017-03,4
2017-04,4
2017-05,6
2017-06,4
2017-07,4
2017-08,5
2017-09,3
2017-10,7
2017-11,4
2017-12,3
2018-01,5
2018-02,5
2018-03,4
2018-04,6
2018-05,32
2018-06,7
2018-07,7
2018-08,9
2018-09,4
2018-10,6
2018-11,4
2018-12,5
2019-01,5
2019-02,4
2019-03,11
2019-04,3
2019-05,7
2019-06,3
2019-07,3
2019-08,8
2019-09,4
2019-10,3
2019-11,3
2019-12,7
2020-01,9
2020-02,5
2020-03,3
2020-04,3
2020-05,5
2020-06,2
2020-07,3
2020-08,3
2020-09,2
2020-10,3
2020-11,3
2020-12,2
2021-01,4
2021-02,5
2021-03,3
2021-04,3
2021-05,3
2021-06,3
2021-07,3
2021-08,3
2021-09,3
2021-10,3
2021-11,4
2021-12,6
2022-01,2
2022-02,3
2022-03,5
2022-04,3
2022-05,3
2022-06,3
2022-07,3
2022-08,3
2022-09,3
2022-10,4
2022-11,4
