Categoría: Todas las categorías

País,accidente aereo: (1/1/04 - 9/11/22)
Cuba,100
Venezuela,7
Paraguay,7
República Dominicana,6
Panamá,6
Honduras,6
Nicaragua,6
El Salvador,5
Chile,5
Colombia,5
España,5
Uruguay,4
Guatemala,4
Bolivia,4
Andorra,
Ecuador,4
Costa Rica,4
Argentina,4
Puerto Rico,3
México,3
Perú,2
Guyana,
Haití,
Angola,
Estados Unidos,<1
Jamaica,
Canadá,<1
Suiza,
Portugal,
Italia,<1
Reino Unido,<1
Alemania,<1
Irlanda,
Suecia,
Brasil,<1
Bélgica,
Austria,
Países Bajos,
Marruecos,
Francia,<1
Japón,<1
Australia,
Rusia,
Polonia,
Sudáfrica,
Territorios Australes Franceses,
Niue,
Guinea Ecuatorial,
Tonga,
Islas Marshall,
Islas Vírgenes Británicas,
Anguila,
San Martín,
Mónaco,
Curazao,
Sint Maarten,
Aruba,
Mauritania,
Antigua y Barbuda,
Bermudas,
Granada,
Isla de Man,
Surinam,
Lesoto,
Belice,
Guernesey,
Islas Caimán,
Guayana Francesa,
Maldivas,
Turkmenistán,
Guam,
Burkina Faso,
Santa Elena,
Laos,
Gabón,
Benín,
Mali,
Bahamas,
Mongolia,
Montenegro,
Mozambique,
Luxemburgo,
Baréin,
Zimbabue,
Trinidad y Tobago,
Palestina,
Georgia,
Libia,
Uzbekistán,
Lituania,
Omán,
Chipre,
Emiratos Árabes Unidos,
Israel,
Letonia,
Nigeria,
Líbano,
Dinamarca,
Rumanía,
Finlandia,
Nueva Zelanda,
Serbia,
China,
Noruega,
Grecia,
Chequia,
Malasia,
Singapur,
Arabia Saudí,
Eslovaquia,
Ucrania,
Irán,
Tailandia,
India,
Turquía,
Pakistán,
Indonesia,
Taiwán,
Vietnam,
Afganistán,
Islas Aland,
Albania,
Armenia,
Samoa Americana,
Antártida,
Azerbaiyán,
Burundi,
Caribe neerlandés,
Bangladés,
Bulgaria,
Bosnia y Herzegovina,
San Bartolomé,
Bielorrusia,
Barbados,
Brunéi,
Bután,
Isla Bouvet,
Botsuana,
República Centroafricana,
Islas Cocos,
Côte d’Ivoire,
Camerún,
República Democrática del Congo,
Congo,
Islas Cook,
Comoras,
Cabo Verde,
Isla de Navidad,
Yibuti,
Dominica,
Argelia,
Egipto,
Eritrea,
Sáhara Occidental,
Estonia,
Etiopía,
Fiyi,
Islas Malvinas (Islas Falkland),
Islas Feroe,
Micronesia,
Ghana,
Gibraltar,
Guinea,
Guadalupe,
Gambia,
Guinea-Bisáu,
Groenlandia,
Hong Kong,
Islas Heard y McDonald,
Croacia,
Hungría,
Territorio Británico del Océano Índico,
Irak,
Islandia,
Jersey,
Jordania,
Kazajistán,
Kenia,
Kirguistán,
Camboya,
Kiribati,
San Cristóbal y Nieves,
Corea del Sur,
Kuwait,
Liberia,
Santa Lucía,
Liechtenstein,
Sri Lanka,
Macao,
Moldavia,
Madagascar,
Macedonia del Norte,
Malta,
Myanmar (Birmania),
Islas Marianas del Norte,
Montserrat,
Martinica,
Mauricio,
Malaui,
Mayotte,
Namibia,
Nueva Caledonia,
Níger,
Isla Norfolk,
Nepal,
Nauru,
Islas Pitcairn,
Filipinas,
Palaos,
Papúa Nueva Guinea,
Corea del Norte,
Polinesia Francesa,
Catar,
Reunión,
Ruanda,
Sudán,
Senegal,
Islas Georgia del Sur y Sandwich del Sur,
Svalbard y Jan Mayen,
Islas Salomón,
Sierra Leona,
San Marino,
Somalia,
San Pedro y Miquelón,
Sudán del Sur,
Santo Tomé y Príncipe,
Eslovenia,
Esuatini,
Seychelles,
Siria,
Islas Turcas y Caicos,
Chad,
Togo,
Tayikistán,
Tokelau,
Timor-Leste,
Túnez,
Tuvalu,
Tanzania,
Uganda,
Islas menores alejadas de EE. UU.,
Ciudad del Vaticano,
San Vicente y las Granadinas,
Islas Vírgenes de EE. UU.,
Vanuatu,
Wallis y Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
